Id,Name,Email,Phone,Membership Tier,Status
TEST0001,Test User 1,btlaton+testuser1@gmail.com,+15555550101,Premium,active
TEST0002,Test User 2,btlaton+testuser2@gmail.com,+15555550102,Basic,active
TEST0003,Test User 3,btlaton+testuser3@gmail.com,+15555550103,VIP,active
TEST0004,Test User 4,btlaton+testuser4@gmail.com,+15555550104,Premium,active
TEST0005,Test User 5,btlaton+testuser5@gmail.com,+15555550105,Basic,active
TEST0006,Test User 6,btlaton+testuser6@gmail.com,+15555550106,VIP,active
TEST0007,Test User 7,btlaton+testuser7@gmail.com,+15555550107,Premium,active
TEST0008,Test User 8,btlaton+testuser8@gmail.com,+15555550108,Basic,active
TEST0009,Test User 9,btlaton+testuser9@gmail.com,+15555550109,VIP,active
TEST0010,Test User 10,btlaton+testuser10@gmail.com,+15555550110,Premium,active
TEST0011,Test User 11,btlaton+testuser11@gmail.com,+15555550111,Basic,active
TEST0012,Test User 12,btlaton+testuser12@gmail.com,+15555550112,VIP,active
ATLAS000A,Alex Valencia,alex@theatlasgym.com,,Premium,active
